"Scientific Name","Common Name","Plant URL","Other Common Names","Other Scientific Names","Growth Form","Ecoregion III","Ecoregion IV","Min Height","Max Height","Min Spread","Max Spread","Leaf Retention","Lifespan","Soil","Light","Water","Native Habitat","Bloom Season","Bloom Color","Seasonal Interest","Wildlife Benefit","Maintenence","Comments","References"
"Abronia ameliae","Heart's Delight","https://www.npsot.org/posts/native-plant/abronia-ameliae/","Amelia's Sand-verbena","","Herbaceous","Gulf Coast Prairies and Marshes, Southern Texas Plains","Coastal Sand Plain, Rio Grande Floodplain and Terraces, Texas-Tamaulipan Thornscrub","1","1.5","0.5","1","Deciduous","Perennial","Sand, Deep, Well Drained, Dry","Sun, Part Shade","Low, Medium","Grassland, Woodland","Spring","Pink, Purple","Nectar, Pollen","Butterflies, Nectar Insects, Moths","A short-lived perennial. Abronias do not transplant well. They are drought tolerant, requiring good drainage to avoid rotting. Native habitat: dry prairies and open woodlands.","Blooms January-June. Stems are coarse and hairy, sometimes sprawling. Plants are sticky all over. Leaves are oval and wavy on the edges. The pink to purple flowers grow in round clusters and are very aromatic. When the flower goes to seed it looks like a cushion filled with pins. The fruit is called an accessory: contains tissue not from the ovary but from adjacent plant tissue.","1) Griffith, Bryce, Omernick & Rodgers (2007). Ecoregions of Texas. 2) https://www.wildflower.org/plants/result.php?id_plant=ABAM2  3) http://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=15336&locationType=County&mapType=Normal. 4) https://portal.torcherbaria.org/portal/taxa/index.php?taxon=Abronia+ameliae&formsubmit=Search+Terms 5) Wasowski, Sally and Wasowski, Andy, Native Texas Plants, Landscaping Region by Region, 1988, 1991, pg 175. 6) Miller, George O., Landscaping with Native Plants of Texas 2nd Ed., 2013, pg 52.  7) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=19552#null, 8) https://en.hortipedia.com/Abronia_ameliae, 9) https://davesgarden.com/guides/pf/go/73434"
"Abutilon wrightii","Wright's Indian Mallow","https://www.npsot.org/posts/native-plant/abutilon-wrightii/","Wright's abutilon","","Herbaceous, Subshrub","Chihuahuan Deserts, Edwards Plateau, Gulf Coast Prairies and Marshes, Southern Texas Plains","Chihuahuan Basins and Playas, Chihuahuan Desert Grasslands, Chihuahuan Montane Woodlands, Low Mountains and Bajadas, Stockton Plateau, Balcones Canyonlands, Edwards Plateau Woodland, Llano Uplift, Semiarid Edwards Plateau, Coastal Sand Plain, Lower Rio Grande Alluvial Floodplain, Lower Rio Grande Valley, Southern Subhumid Gulf Coastal Prairies, Northern Nueces Alluvial Plains, Rio Grande Floodplain and Terraces, Semiarid Edwards Bajada, Texas-Tamaulipan Thornscrub","","","","","","","","","","","Spring, Summer, Fall","Orange, Yellow","","","No other information available at this time.","Blooms March-November. No other information available at this time.","1) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=21677#null  2) https://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=14470&locationType=County&mapType=Normal  3) https://www.wildflower.org/plants/result.php?id_plant=ABWR"
"Acacia angustissima","Prairie Acacia","https://www.npsot.org/posts/native-plant/acaciella-angustissima/","White Ball Acacia, Fern Acacia, Whiteball Acacia, Prairie Wattle, White-ball Acacia","Acaciella angustissima","Shrub","Central Great Plains, Chihuahuan Deserts, Cross Timbers, East Central Texas Plains, Edwards Plateau, Gulf Coast Prairies and Marshes, Southern Texas Plains, Southwestern Tablelands, Texas Blackland Prairies, Western Gulf Coastal Plain","Broken Red Plains, Limestone Plains, Red Prairie, Chihuahuan Desert Grasslands, Chihuahuan Montane Woodlands, Low Mountains and Bajadas, Stockton Plateau, Carbonate Cross Timbers, Eastern Cross Timbers, Grand Prairie, Limestone Cut Plain, Western Cross Timbers, Bastrop Lost Pines, Floodplains and Low Terraces, Northern Post Oak Savanna, Northern Prairie Outliers, San Antonio Prairie, Southern Post Oak Savanna, Balcones Canyonlands, Edwards Plateau Woodland, Llano Uplift, Semiarid Edwards Plateau, Coastal Sand Plain, Laguna Madre Barrier Island and Coastal Marshes, Mid-Coast Barrier Islands and Coastal Marshes, Northern Humid Gulf Coastal Prairies, Southern Subhumid Gulf Coastal Prairies, Texas-Louisiana Coastal Marshes, Northern Nueces Alluvial Plains, Rio Grande Floodplain and Terraces, Semiarid Edwards Bajada, Texas-Tamaulipan Thornscrub, Caprock Canyons Badlands Breaks, Flat Tablelands and Valleys, Northern Blackland Prairie, Southern Blackland Prairie, Flatwoods, Pleistocene Fluvial Terraces, Red River Bottomlands, Southern Tertiary Uplands, Tertiary Uplands","1","3","1.5","2","Deciduous","Perennial","Caliche, Clay, Dry, Gravelly, Loam, Sand, Well Drained","Sun, Part Shade","Low","Grassland, Woodland Edge","Summer, Fall","White","Larval Host, Nectar, Seeds","Bees, Birds, Butterflies, Moths, Nectar Insects, Small Mammals","Drought Tolerant. Colonizes by rhizomes, and is good as a ground cover, for erosion control, and prairie restoration. It is similar in appearance to Illinois Bundleflower. Plant on north or east slope, but can also take full sun on a south slope with some supplemental water. Unlike most shrubs it will go dormant or die to the ground in winter, but grows back quickly in spring. In frost-free zones this plant can become a tall shrub. Trim dead foliage before spring growth. Plants not common in nurseries but seeds are commercially available. Native habitat: prairie, woodlands' edge, hillsides.","Blooms June-September. A mounding, thornless acacia. Fine, feathery compound foliage, that closes at night, is its most attractive feature. Produces cream-colored round clusters of flowers. The fruit is a legume pod. This plant is unusual in that some sources list it as herbaceous and others as a woody shrub. It can have a woody base, but herbaceous stems and leaves. Larval host: Sphingicampa raspa Moth.

","1) Griffith, Bryce, Omernick & Rodgers (2007). Ecoregions of Texas, 2) https://portal.torcherbaria.org/portal/taxa/index.php?taxon=Acaciella+angustissima&formsubmit=Search+Terms. 3) https://www.wildflower.org/plants/result.php?id_plant=ACAN11. 4) http://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=10283&locationType=County&mapType=Normal. 5) Wasowski and Wasowski, Native Texas Plants Landscaping Region by Region, 1991, pg 96. 6) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=26418#null, 7) https://www.spadefootnursery.com/fagaceae-acaciella-angustissima?rq=acacia%20angustissima, 8) https://garden.org/plants/view/79647/Timbre-Acaciella-angustissima/, 9) https://southwestdesertflora.com/WebsiteFolders/All_Species/Fabaceae/Acaciella%20angustissima,%20White-ball%20Acacia.html, 10) https://cales.arizona.edu/yavapaiplants/SpeciesDetailForb.php?genus=Acaciella&species=angustissima, 11) chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://plants.usda.gov/DocumentLibrary/factsheet/pdf/fs_acan.pdf"
"Acalypha ostryifolia","Hornbeam Copperleaf","https://www.npsot.org/posts/native-plant/acalypha-ostryifolia/","Hophornbeam copperleaf, Pineland threeseed mercury","Acalypha caroliniana,  Acalypha setosa, Acalypha persimilis","Herbaceous","Central Great Plains, Chihuahuan Deserts, Cross Timbers, East Central Texas Plains, Edwards Plateau, Southern Texas Plains, Southwestern Tablelands, Texas Blackland Prairies","Broken Red Plains, Limestone Plains, Red Prairie, Low Mountains and Bajadas, Carbonate Cross Timbers, Eastern Cross Timbers, Grand Prairie, Limestone Cut Plain, Western Cross Timbers, Bastrop Lost Pines, Floodplains and Low Terraces, Northern Post Oak Savanna, Northern Prairie Outliers, San Antonio Prairie, Southern Post Oak Savanna, Balcones Canyonlands, Edwards Plateau Woodland, Llano Uplift, Northern Nueces Alluvial Plains, Rio Grande Floodplain and Terraces, Semiarid Edwards Bajada, Texas-Tamaulipan Thornscrub, Canadian/Cimarron Breaks, Caprock Canyons Badlands Breaks, Flat Tablelands and Valleys, Semiarid Canadian Breaks, Northern Blackland Prairie, Southern Blackland Prairie","1","3","1","3","Deciduous","Annual","Clay, Gravelly, Loam","Sun, Part Shade","Medium","Disturbed Areas, Grassland, Riparian, Shrubland, Woodland, Woodland Edge","Summer, Fall","Brown, Green, White","Forage, Larval Host, Seeds","Birds, Browsers, Beetles, Deer","A common native ""weedy"" species that might deserve a place in your garden. Plants in the Euphorbiaceae family usually have a milky sap which toxic to eat and touch. The Acalypha plants lack this sap, which may explain why they are eaten by mammals like deer. Like other native plants, these plants support the food web. Leaving them in your yard or garden helps protect ecosystems. If you learn to identify these plants, and leave them in your garden, you help to provide food for wildlife, supporting biodiversity. The seeds of the Acalypha are eaten by birds. Mammals, including deer, sometimes eat the leaves as well. The beetles Hornaltica bicolorata and Margaridisa atriventris feed on these species. Rather than seeing them as weeds, you can see them as a contributor to natural beauty. Native habitat: riverbanks, fields, bluffs, canyons and slopes, mesic woodlands, pinelands, thickets, disturbed areas.","Blooms June-November. The stems are upright, branching, purplish-green with vertical striations, short recurved hairs. The leaves are ovate, with serrate or dentate margins, and slight pubescence, Inconspicuous flowers that lack petals and are wind pollinated. Male flowers axillary, female flowers terminal. The fruit is a three-lobed capsule. Larval host: the spotted lady beetle (Coleomegilla maculata) commonly lays eggs on this plant when it grows near sweet corn crops.
","1) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=28189#null  2) https://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=9924&locationType=County&mapType=Normal  3) https://www.wildflower.org/plants/result.php?id_plant=ACPE85  4) https://portal.torcherbaria.org/portal/taxa/index.php?taxon=Acalypha+ostryifolia&formsubmit=Search+Terms  5) https://wizzley.com/acalypha/  6) https://en.wikipedia.org/wiki/Acalypha_ostryifolia  6) https://grokipedia.com/page/acalypha_ostryifolia  7) https://www.illinoiswildflowers.info/weeds/plants/hb_mercury.htm"
"Acer floridanum","Southern Sugar Maple","https://www.npsot.org/posts/native-plant/acer-floridanum/","Caddo Maple, Florida Maple, Rock Maple","Acer barbatum, Acer barbatum var. longii, Acer barbatum var. villipes, Acer floridanum var. longii, Acer floridanum var. villipes, Acer nigrum var. floridanum, Acer saccharinum var. floridanum, Acer saccharum ssp. floridanum, Acer saccharum var. floridanum, Saccharodendron barbatum, Saccharodendron floridanum","Tree","Western Gulf Coastal Plain","Flatwoods, Pleistocene Fluvial Terraces, Red River Bottomlands, Southern Tertiary Uplands, Tertiary Uplands","20","100","12","60","Deciduous","Perennial","Clay, Loam, Moist, Rich, Sand, Well Drained","Sun, Part Shade","Medium","Riparian","Spring","Green, Yellow","Fall Color, Seeds","Birds, Small Mammals","Moderate to fast growth rate. This small, spreading tree is easy to grow. It is resistant to ice and wind storms. Tolerates drought and occasionally wet soil. Flowers and lawns do not grow well beneath this tree. Use as a specimen, shade tree, street tree or woodland garden. Beautiful yellow to orange colors in the fall. Native habitat: streams and river banks.","Blooms April. A smaller southern version of the Sugar Maple. Lobed leaves are green above, paler and fuzzy below. Inconspicuous, small, yellow flowers hang in clusters. Winged fruit called samaras. Although still listed by some in the Aceraceae Family, the majority of botanical organizations now list it in the Sapindaceae Family.","1) Griffith, Bryce, Omernick & Rodgers (2007). Ecoregions of Texas. 2) http://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=22729&locationType=County&mapType=Normal. 3) https://portal.torcherbaria.org/portal/taxa/index.php?taxon=Acer+floridanum&formsubmit=Search+Terms 4) https://www.wildflower.org/plants/result.php?id_plant=ACFL 5) Wasowski, Sally and Wasowski, Andy, Native Texas Plants, Landscaping Region by Region, 1988, 1991, pg 330.  6) Miller, George O., Landscaping with Native Plants of Texas 2nd Ed., 2013, pg 48. 7) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=183691#null, 8) https://plants.ces.ncsu.edu/plants/acer-saccharum-subsp-floridanum/"
"Acer grandidentatum","Bigtooth Maple","https://www.npsot.org/posts/native-plant/acer-grandidentatum/","Big-toothed Maple, Uvalde Bigtooth Maple, Southwestern Bigtooth Maple, Canyon Maple, Sabinal Maple, Western Sugar Maple","","Tree","Chihuahuan Deserts, Cross Timbers, Edwards Plateau","Chihuahuan Desert Grasslands, Chihuahuan Montane Woodlands, Low Mountains and Bajadas, Limestone Cut Plain, Balcones Canyonlands","15","40","10","15","Deciduous","Perennial","Calcareous, Clay, Loam, Moist","Sun","Medium","Riparian, Woodland","Spring","Green, Yellow","Fall Color, Flowers, Forage, Nectar, Pollen, Seeds","Birds, Browsers, Butterflies, Small Mammals","Slow growth rate, especially in the first few seasons. Needs well drained soil. Slightly more drought tolerant than eastern maples. A good small landscape tree. Brilliant yellow to red fall color. Benefits from 2″–4″ of mulch over and beyond the root zone. Do not allow mulch to contact tree trunk. Foliage tips may burn in hot summers. Prune only if necessary. Found mostly in the Edwards Plateau and Guadalupe Mountains but available in nurseries in other parts of Texas. May require supplemental watering outside of its native range, but do not overwater. Native habitat: moist soils of canyons in mountains and plateaus, in woodlands and riparian zones. ","Blooms March-April. The western relative of Sugar Maple. Grows as a large shrub to small tree depending on conditions. Its bark is dark brown and scaly. The three to five lobed leaves are dark green above, with pale fuzz underneath. The scientific name refers to the large toothed leaf. Flowers are small, in hanging clusters, appearing before the leaves. The flowers are wind-pollinated, with variability in sex expression, as each plant may produce both male and female flowers in a single inflorescence or only one of the sexes, depending on environmental factors such as temperature and moisture. The fruit is a winged samara with two large fruits fused in the middle.","1) https://www.wildflower.org/plants/result.php?id_plant=ACGR3. 2) https://portal.torcherbaria.org/portal/taxa/index.php?taxon=Acer+grandidentatum&formsubmit=Search+Terms. 3) http://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=22739&locationType=County&mapType=Normal. 4) Wasowski and Wasowski, Native Texas Plants Landscaping Region by Region, 1991, pg. 331. 5) Miller, George O., Landscaping with Native Plants of Texas 2nd Ed., 2013, pg 48., 6) Native and Adapted Landscape Plants, City of Austin and Texas A&M, 2014, 8) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=28760#null, 8) https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?taxonid=241814, 9) https://extension.usu.edu/rangeplants/shrubs-and-trees/bigtooth-maple#:~:text=Uses%20and%20Management:,source%20of%20sugar%20and%20syrup., 10) https://www.fs.usda.gov/database/feis/plants/tree/acegra/all.html, 11) https://arboretum.arizona.edu/faul-preserve-acer-grandidentatum-bigtooth-maple#:~:text=The%20flowers%20are%20wind%2Dpollinated,characteristic%20of%20maples%20(2)."
"Acer negundo","Box Elder","https://www.npsot.org/posts/native-plant/acer-negundo/","","","Tree","Cross Timbers, East Central Texas Plains, Edwards Plateau, Texas Blackland Prairies, Western Gulf Coastal Plain","Eastern Cross Timbers, Grand Prairie, Bastrop Lost Pines, Floodplains and Low Terraces, Northern Post Oak Savanna, Northern Prairie Outliers, San Antonio Prairie, Southern Post Oak Savanna, Balcones Canyonlands, Northern Blackland Prairie, Southern Blackland Prairie, Flatwoods, Pleistocene Fluvial Terraces, Red River Bottomlands, Southern Tertiary Uplands, Tertiary Uplands","35","60","30","50","Deciduous","Perennial","Clay, Loam, Moist, Sand","Sun, Part Shade","Medium","Disturbed Areas, Riparian, Woodland","Spring","Brown, Green, Yellow","Fall Color, Larval Host, Nectar, Pollen, Seeds","Bees, Birds, Moths","Low maintenance, adaptable. Fast growth rate. It is planted to provide shade and shelterbelts. Works well in a variety of soils. Intolerant of full shade. It is short-lived and easily broken in storms. Leaves provide yellow fall color. Native habitat: moist woods, stream banks, and floodplains, and disturbed areas.","Blooms March-April. Usually a small to medium-sized tree. It doesn’t look like other maples because of its compound leaves with characteristic 3-5 leaflets. Male and female flowers are borne on separate trees before leaves appear. Flowers are several in a cluster, greenish yellow, appearing as the leaves begin to unfold. The fruit are several 1-seeded, winged samaras hanging in long, drooping clusters. Larval host: Cecropia Silkmoth. Although still listed by some in the Aceraceae Family, the majority of botanical organizations now list it in the Sapindaceae Family.","1) Griffith, Bryce, Omernick & Rodgers (2007). Ecoregions of Texas. 2) https://www.wildflower.org/plants/result.php?id_plant=ACNE2. 3) https://portal.torcherbaria.org/portal/taxa/index.php?taxon=Acer+negundo&formsubmit=Search+Terms. 4) http://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=22748&locationType=County&mapType=Normal. 5) Miller, George O., Landscaping with Native Plants of Texas 2nd Ed., 2013, pg 48. 6) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=28749#null"
"Acer rubrum var. drummondii","Drummond Red Maple","https://www.npsot.org/posts/native-plant/acer-rubrum-var-drummondii/","Swamp Maple, Drummond Red Maple","Acer drummondii, Acer rubrum ssp. drummondii, Rufacer drummondii","Tree","Western Gulf Coastal Plain","Southern Tertiary Uplands","50","90","30","60","Deciduous","Perennial","Calcareous, Clay, Loam, Moist, Poor Drainage, Sand","Sun, Part Shade","Medium, High","Wetland, Woodland","Spring","Red","Fall Color, Forage, Larval Host, Pollen, Seeds","Bees, Birds, Butterflies, Beetles, Deer, Moths, Small Mammals","Fast growth rate. Tolerates a wide range of soil conditions. A showy shade tree with attractive fall foliage. Not as cold hardy as other maples. The fallen leaves decompose over time, releasing essential nutrients back into the soil. This process enriches the surrounding environment, supporting the growth of other plant species and wildlife. Native habitat: moist, open woodlands and swamps.","Blooms February-April. Forms a dense crown with sturdy branches. Leaves are 3- to 5-lobed, but are different from the other Maples by being hairy on the silvery lower surface of its leaves. Male and female flowers are found on separate trees. In spring the tree is covered with decorative red male flowers. Female trees produce seeds called samaras. The tree's bark provides a habitat for a variety of organisms: beetles and spiders find refuge, creating a miniature ecosystem within the tree itself. Larval host: Sphinx Moths. Although still listed by some in the Aceraceae Family, the majority of botanical organizations now list it in the Sapindaceae Family.

","1) Griffith, Bryce, Omernick & Rodgers (2007). Ecoregions of Texas. 2) https://www.wildflower.org/plants/result.php?id_plant=ACRUD. 3) http://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=30529&locationType=County&mapType=Normal. 4) Wasowski and Wasowski, Native Texas Plants Landscaping Region by Region, 1991, pg. 331. 5) Miller, George O., Landscaping with Native Plants of Texas 2nd Ed., 2013, pg 48. 6) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=526853#null, 7) https://www.quaggadesigns.com/post/drummond-red-maple-maple-specie-explained"
"Achillea millefolium","Common Yarrow","https://www.npsot.org/posts/native-plant/achillea-millefolium/","Western Yarrow, Yarrow, Milfoil","","Herbaceous","Central Great Plains, Chihuahuan Deserts, Cross Timbers, East Central Texas Plains, Southwestern Tablelands, Texas Blackland Prairies, Western Gulf Coastal Plain","Broken Red Plains, Limestone Plains, Red Prairie, Chihuahuan Desert Grasslands, Carbonate Cross Timbers, Eastern Cross Timbers, Grand Prairie, Limestone Cut Plain, Western Cross Timbers, Bastrop Lost Pines, Floodplains and Low Terraces, Northern Post Oak Savanna, Northern Prairie Outliers, San Antonio Prairie, Southern Post Oak Savanna, Canadian/Cimarron Breaks, Caprock Canyons Badlands Breaks, Flat Tablelands and Valleys, Semiarid Canadian Breaks, Northern Blackland Prairie, Southern Blackland Prairie, Pleistocene Fluvial Terraces, Red River Bottomlands, Tertiary Uplands","1","3","1","2","Semi Evergreen","Perennial","Clay, Loam, Sand","Sun, Part Shade","Low, Medium","Disturbed Areas, Grassland, Riparian, Woodland","Spring, Summer, Fall","White","Nectar, Pollen","Bees, Butterflies","Grows in a variety of soils. May go dormant in summer and return in cooler weather. Late afternoon shade and a little supplemental water will prolong its green leaves in hotter climates. Colonizes by rhizomes, making a good groundcover. If desired, dead-head for appearance or leave seed heads for wildlife. Can be used in fresh or dried arrangements. Hybridizes with Eurasian yarrows and cultivars. White yarrow found in the wild are closer to being pure native. WARNING: some people may experience contact dermatitis. Native habitat: disturbed areas, pastures, meadows, roadsides, stream sides, woodlands.","Blooms April-September: late April to early July in the south, mid July to mid September in the north. Grows in upright clusters of stems with branches only near the top. Fern-like leaves have a pungent fragrance. Flowers occur in white flat-topped clusters. The fruit is a cypsela: a dry, one-seeded fruit, usually topped by pappus.","1) https://www.wildflower.org/plants/result.php?id_plant=ACMI2. 2) https://portal.torcherbaria.org/portal/taxa/index.php?taxon=Achillea+millefolium&formsubmit=Search+Terms. 3) http://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=1959&locationType=County&mapType=Normal. 4) Miller, George O., Landscaping with Native Plants of Texas 2nd Ed., 2013, pg 52., 5) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=35423#null, 6) https://www.gardenstylesanantonio.com/plants/yarrow/#:~:text=Deciduous,if%20plants%20get%20too%20crowded., 7) https://garden.org/ideas/view/dave/2141/The-Wonderful-Yarrow/  8) Native and Adapted Landscape Plants, City of Austin and Texas A&M, 2014  9) https://plants.ces.ncsu.edu/plants/achillea-millefolium/"
"Achnatherum hymenoides","Indian Ricegrass","https://www.npsot.org/posts/native-plant/achnatherum-hymenoides/","Indian Millet, Sandgrass","Eriocoma cuspidata, Oryzopsis hymenoides, Stipa hymenoides","Grass & Sedge","Chihuahuan Deserts, High Plains","Chihuahuan Desert Grasslands, Canadian/Cimarron High Plains","1","2","1","2","Deciduous","Perennial","Calcareous, Deep, Dry, Rocky, Sand, Well Drained","Sun","Low","Desert, Grassland","Spring, Summer","Green, Yellow","Forage, Larval Host, Seeds","Birds, Browsers, Butterflies, Small Mammals","Very drought tolerant. This species also makes an attractive addition to xeric and rock gardens. Foliage turns tan when dormant. Good erosion control for sand dunes and land reclamation projects. Can be mowed to 8 in. in early fall. One of the “big four” grasses of the American Tallgrass Prairie. It does not tolerate poorly drained soils, extended periods of inundation, winter flooding or shading. The seed has a hard coat that prolongs dormancy, taking up to two years for an area that has been seeded to become fully established. Native habitat: dry grasslands, deserts.","Blooms May-August. A cool-season bunchgrass. It has many tightly rolled, slender leaves, growing from the base of the bunch giving it a slightly wiry appearance. The wide spreading panicle inflorescence has a single flower at the end of each hair-like branch. Seeds are round to elongated, black or brown, and generally covered with a fringe of short, dense, white callus hairs. Larval host: Skippers.","1)  Griffith, Bryce, Omernick & Rodgers (2007). Ecoregions of Texas. 2) https://www.wildflower.org/plants/result.php?id_plant=ACHY. 3) https://portal.torcherbaria.org/portal/taxa/index.php?taxon=Achnatherum+hymenoides&formsubmit=Search+Terms. 4) http://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=8235&locationType=County&mapType=Normal. 5)  Wasowski and Wasowski, Native Texas Plants Landscaping Region by Region, 1991, pg 130.131. 6) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=507943#null  7) chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://plants.usda.gov/DocumentLibrary/plantguide/pdf/pg_achy.pdf  8) https://www.greatbearnativeplants.com/post/featured-plant-achnatherum-hymenoides-indian-ricegrass#:~:text=Achnatherum%20hymenoides%2C%20commonly%20known%20as%20Indian%20ricegrass%2C,sagebrush%2C%20juniper%20and%20ponderosa%20pine%2Ddominant%20plant%20communities."
